Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Array,Slide,Batchname,Basename,filenames,Cancer,Purity_Impute_Absolute,Amp1,Amp2,Gain,HetLoss,HomDel,diploid
TCGA-A2-A0T2-01A-11D-A10P-05,NA,Tumor,NA,NA,NA,R04C02,6004791004,6004791004,./6004791004_R04C02,./6004791004_R04C02,BRCA,0.652261999999999,,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KIT;KRAS;LSM1;MAP3K5;MDM2;MDM4;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,BIRC2;BIRC3;BRCA2;FANCD2;FAT1;PTEN;RB1;TET1;VHL,,CDKN2C
TCGA-A2-A0T5-01A-21D-A10P-05,NA,Tumor,NA,NA,NA,R01C01,6004791010,6004791010,./6004791010_R01C01,./6004791010_R01C01,BRCA,0.5927895,ADAR;AKT3;CHD1L;CKS1B;MDM4;SETDB1;SHC1,,AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KIT;KRAS;LSM1;MAP3K5;MDM2;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,,,
TCGA-A2-A0T7-01A-21D-A10P-05,NA,Tumor,NA,NA,NA,R06C01,6004791010,6004791010,./6004791010_R06C01,./6004791010_R06C01,BRCA,0.462528333333333,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA,NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TCGA-A2-A0YC-01A-11D-A10A-05,NA,Tumor,NA,NA,NA,R05C01,6005486029,6005486029,./6005486029_R05C01,./6005486029_R05C01,BRCA,0.6080205,,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KIT;KRAS;LSM1;MAP3K5;MDM2;MDM4;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,BIRC2;BIRC3,,BRCA2;RB1
TCGA-A2-A0YE-01A-11D-A10A-05,NA,Tumor,NA,NA,NA,R03C01,6005486018,6005486018,./6005486018_R03C01,./6005486018_R03C01,BRCA,0.6477465,C11orf30;CCND2;EGFR;EIF2A;EIF5A2;ERBB2;ETV1;KIT;MAP3K5;MYB;PAK1;PLA2G10;RAB23;SKP2;STARD3,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C8orf4;CCND1;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EIF2S1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KRAS;LSM1;MDM2;MDM4;MED29;MET;MITF;MTDH;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PPM1D;PTK6;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SLTM;SMURF1;SOX2;SOX4;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,PTEN,,BIRC2;BIRC3;BRCA2;CDKN2A;CDKN2B;CDKN2C;FANCD2;FAT1;RB1;TET1;VHL
TCGA-A2-A0YF-01A-21D-A10A-05,NA,Tumor,NA,NA,NA,R06C01,6005486018,6005486018,./6005486018_R06C01,./6005486018_R06C01,BRCA,0.688108166666666,CCND1,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KIT;KRAS;LSM1;MAP3K5;MDM2;MDM4;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,BIRC2;BIRC3;CDKN2C,,BRCA2;CDKN2A;CDKN2B;FANCD2;FAT1;PTEN;RB1;TET1;VHL
TCGA-A2-A0YG-01A-21D-A10A-05,NA,Tumor,NA,NA,NA,R01C02,6005486005,6005486005,./6005486005_R01C02,./6005486005_R01C02,BRCA,0.631757500000001,ARPC1A;AURKA;CDK6;DNMT3B;DYRK2;EEF1A2;EGFR;EIF2A;EIF5A2;ETV1;MAP3K5;MDM2;MDM4;MET;MTDH;MYC;NCOA3;PIK3CA;PIK3CB;PIK3CG;PTK6;RAB23;RUVBL1;SKP2;SMURF1;TRIB1;YEATS4;YWHAB;YWHAZ;ZNF217,ADAR;CDC6;CKS1B;ERBB2;GRB7;PPM1D;RPS6KB1;SETDB1;SHC1;STARD3,AKT3;AR;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDK4;CHD1L;DCUN1D1;E2F3;EIF2S1;FADD;FGFR1;GATA6;HRAS;JUN;KIT;KRAS;LSM1;MED29;MITF;MYB;MYCL1;MYCN;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CD;PKN1;PLA2G10;REL;SLTM;SOX2;SOX4;TFDP1;TRIT1;WHSC1L1;YAP1;YWHAQ,,,BRCA2;CDKN2A;CDKN2B;PTEN;TET1
TCGA-A2-A0YH-01A-11D-A10A-05,NA,Tumor,NA,NA,NA,R06C01,6005486005,6005486005,./6005486005_R06C01,./6005486005_R06C01,BRCA,0.467131666666667,ADAR;AKT3;AURKA;CCND2;CCNE1;CD274;CHD1L;CKS1B;DNMT3B;EEF1A2;EGFR;EIF2S1;ETV1;KRAS;MDM4;MED29;NCOA3;PAX9;PLA2G10;PPM1D;PTK6;RPS6KB1;SETDB1;SHC1;YWHAB;ZNF217,BAG4;C8orf4;FGFR1;LSM1;MTDH;MYC;TRIB1;WHSC1L1;YWHAZ,AR;ARPC1A;BIRC2;C11orf30;CCND1;CDC6;CDK4;CDK6;DCUN1D1;DYRK2;E2F3;EIF2A;EIF5A2;ERBB2;FADD;GATA6;GRB7;HRAS;JUN;KIT;MAP3K5;MDM2;MET;MITF;MYB;MYCL1;MYCN;NRAS;PAFAH1B1;PAK1;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;RAB23;REL;RUVBL1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIT1;YAP1;YEATS4;YWHAQ,,,
TCGA-A2-A0YI-01A-31D-A10N-05,NA,Tumor,NA,NA,NA,R03C01,6005486012,6005486012,./6005486012_R03C01,./6005486012_R03C01,BRCA,0.443728333333333,JUN,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;KIT;KRAS;LSM1;MAP3K5;MDM2;MDM4;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,BIRC2;BIRC3;BRCA2;RB1,,CDKN2A;CDKN2B;FANCD2;FAT1;PTEN;TET1;VHL
TCGA-A2-A0YJ-01A-11D-A10A-05,NA,Tumor,NA,NA,NA,R06C01,6005486029,6005486029,./6005486029_R06C01,./6005486029_R06C01,BRCA,0.589546500000001,ADAR;AKT3;ARPC1A;AURKA;BIRC2;C11orf30;CCND1;CCND2;CD274;CDK6;CHD1L;CKS1B;DNMT3B;E2F3;EEF1A2;EGFR;ETV1;FADD;GATA6;JUN;MAP3K5;MDM4;MED29;MET;MTDH;MYCN;NCOA3;PAFAH1B1;PAK1;PIK3CG;PLA2G10;PTK6;RAB23;REL;SETDB1;SHC1;SMURF1;SOX4;TFDP1;YAP1;YWHAB;YWHAQ;ZNF217,C8orf4;ERBB2;GRB7;MYB;MYC;STARD3;TRIB1;YWHAZ,AR;BAG4;CCNE1;CDC6;CDK4;DCUN1D1;DYRK2;EIF2A;EIF2S1;EIF5A2;FGFR1;HRAS;KIT;KRAS;LSM1;MDM2;MITF;MYCL1;NRAS;PAX9;PIK3CA;PIK3CB;PIK3CD;PKN1;PPM1D;RPS6KB1;RUVBL1;SKP2;SLTM;SOX2;TRIT1;WHSC1L1;YEATS4,,,TET1
